"","Assay_Type_s","AssemblyName_s","BioSample_s","Experiment_s","InsertSize_l","LibraryLayout_s","MBases_l","Run_s","SRA_Sample_s","Sample_Name_s","body_site_s","gap_sample_id_s","gap_subject_id_s"
"2257","RNA-Seq","GRCh37","SAMN02465303","SRX407786",150,"PAIRED",8338,"SRR1074790","SRS524451","GTEX-XPVG-0926-SM-4B651","Artery - Coronary",1109979,847765
"2258","RNA-Seq","GRCh37","SAMN02465470","SRX407798",150,"PAIRED",5014,"SRR1074815","SRS524452","GTEX-S7SF-1026-SM-4AD4I","Esophagus - Muscularis",1109244,678173
"2259","RNA-Seq","GRCh37","SAMN02465556","SRX407817",150,"PAIRED",4720,"SRR1074839","SRS524453","GTEX-XGQ4-1626-SM-4AT6J","Esophagus - Gastroesophageal Junction",1109859,847756
"2260","RNA-Seq","GRCh37","SAMN02465586","SRX407828",150,"PAIRED",4403,"SRR1074860","SRS524454","GTEX-SE5C-2126-SM-4BRUJ","Breast - Mammary Tissue",1109269,678175
"2261","RNA-Seq","GRCh37","SAMN02465461","SRX407837",150,"PAIRED",8054,"SRR1074884","SRS524455","GTEX-S95S-0326-SM-4B66U","Esophagus - Muscularis",1109250,678174
"2262","RNA-Seq","GRCh37","SAMN02465026","SRX407854",150,"PAIRED",9171,"SRR1074909","SRS524456","GTEX-SE5C-0008-SM-4B64J","Cells - Transformed fibroblasts",1109258,678175
"2263","RNA-Seq","GRCh37","SAMN02465443","SRX407869",400,"PAIRED",5952,"SRR1074934","SRS524457","GTEX-XAJ8-0526-SM-47JYK","Small Intestine - Terminal Ileum",1109795,721017
"2264","RNA-Seq","GRCh37","SAMN02464884","SRX407878",150,"PAIRED",4926,"SRR1074956","SRS524458","GTEX-PWCY-0008-SM-48TE9","Cells - Transformed fibroblasts",1108835,590957
"2265","RNA-Seq","GRCh37","SAMN02465108","SRX407889",150,"PAIRED",4943,"SRR1074980","SRS524459","GTEX-Q2AH-0008-SM-48U2J","Cells - Transformed fibroblasts",1108886,590963
"2266","RNA-Seq","GRCh37","SAMN02465612","SRX407903",150,"PAIRED",5134,"SRR1075004","SRS524460","GTEX-PSDG-1426-SM-48TD1","Esophagus - Muscularis",1108822,590955
"2267","RNA-Seq","GRCh37","SAMN02464897","SRX407909",150,"PAIRED",6576,"SRR1075028","SRS524461","GTEX-RWS6-0526-SM-4GIAJ","Artery - Aorta",1109135,678162
"2268","RNA-Seq","GRCh37","SAMN02465716","SRX407927",150,"PAIRED",5663,"SRR1075054","SRS524462","GTEX-XBED-0926-SM-48TCE","Esophagus - Muscularis",1109820,721018
"2269","RNA-Seq","GRCh37","SAMN02464797","SRX407938",150,"PAIRED",6571,"SRR1075078","SRS524463","GTEX-VJYA-2026-SM-4KL1K","Colon - Transverse",1109567,706579
"2270","RNA-Seq","GRCh37","SAMN02465788","SRX407946",150,"PAIRED",5201,"SRR1075102","SRS524464","GTEX-UTHO-2426-SM-4JBHD","Liver",1109529,706575
"2271","RNA-Seq","GRCh37","SAMN02465621","SRX407956",150,"PAIRED",4869,"SRR1075126","SRS524465","GTEX-REY6-2126-SM-48FD9","Prostate",1109072,678153
"2272","RNA-Seq","GRCh37","SAMN02466002","SRX407968",150,"PAIRED",4229,"SRR1075150","SRS524466","GTEX-PWCY-1726-SM-48TD3","Vagina",1108844,590957
"2273","RNA-Seq","GRCh37","SAMN02465962","SRX407981",150,"PAIRED",4561,"SRR1075174","SRS524467","GTEX-T5JW-0226-SM-4DM7I","Pancreas",1109340,706552
"2274","RNA-Seq","GRCh37","SAMN02465283","SRX408000",150,"PAIRED",5839,"SRR1075198","SRS524468","GTEX-XMK1-0126-SM-4B65F","Spleen",1109914,847761
"2275","RNA-Seq","GRCh37","SAMN02466065","SRX408007",150,"PAIRED",4192,"SRR1075223","SRS524469","GTEX-T5JW-0726-SM-4DM6D","Cervix - Ectocervix",1109343,706552
"2276","RNA-Seq","GRCh37","SAMN02465340","SRX408019",150,"PAIRED",4452,"SRR1075247","SRS524470","GTEX-XQ3S-1426-SM-4BOPR","Skin - Not Sun Exposed (Suprapubic)",1110006,847766
"2277","RNA-Seq","GRCh37","SAMN02465763","SRX408037",150,"PAIRED",4971,"SRR1075273","SRS524471","GTEX-XBEW-0008-SM-4AT3Y","Cells - Transformed fibroblasts",1109838,847755
"2278","RNA-Seq","GRCh37","SAMN02464887","SRX408046",150,"PAIRED",6737,"SRR1075294","SRS524472","GTEX-TKQ1-0426-SM-4DXT4","Esophagus - Muscularis",1109375,706556
"2279","RNA-Seq","GRCh37","SAMN02466004","SRX408054",400,"PAIRED",5772,"SRR1075314","SRS524473","GTEX-RUSQ-0226-SM-47JWT","Adrenal Gland",1109122,678159
"2280","RNA-Seq","GRCh37","SAMN02465146","SRX408067",150,"PAIRED",6300,"SRR1075336","SRS524474","GTEX-S4P3-0626-SM-4AD59","Pancreas",1109203,678168
"2281","RNA-Seq","GRCh37","SAMN02465516","SRX408080",150,"PAIRED",5850,"SRR1075360","SRS524475","GTEX-PWN1-2426-SM-48TDD","Ovary",1108852,590958
"2282","RNA-Seq","GRCh37","SAMN02466058","SRX408093",150,"PAIRED",4055,"SRR1075384","SRS524476","GTEX-T2IS-1126-SM-4DM6Z","Nerve - Tibial",1109320,706549
"2283","RNA-Seq","GRCh37","SAMN02465666","SRX408107",150,"PAIRED",7521,"SRR1075408","SRS524477","GTEX-OHPM-0008-SM-4E3IP","Cells - Transformed fibroblasts",1108780,590932
"2284","RNA-Seq","GRCh37","SAMN02465893","SRX408111",150,"PAIRED",8745,"SRR1075433","SRS524478","GTEX-XOTO-0011-R5A-SM-4B657","Brain - Caudate (basal ganglia)",1109945,847763
"2285","RNA-Seq","GRCh37","SAMN02465446","SRX408134",150,"PAIRED",6092,"SRR1075458","SRS524479","GTEX-XK95-1026-SM-4GIDV","Esophagus - Mucosa",1109871,847757
"2286","RNA-Seq","GRCh37","SAMN02465284","SRX408143",150,"PAIRED",6016,"SRR1075484","SRS524480","GTEX-XMD1-0826-SM-4AT52","Breast - Mammary Tissue",1109905,847759
"2287","RNA-Seq","GRCh37","SAMN02465689","SRX408152",150,"PAIRED",8342,"SRR1075505","SRS524481","GTEX-NL4W-0008-SM-4E3I2","Cells - Transformed fibroblasts",1108764,590924
"2288","RNA-Seq","GRCh37","SAMN02465531","SRX408183",150,"PAIRED",7753,"SRR1075530","SRS524494","GTEX-XPVG-2026-SM-4B65E","Prostate",1109986,847765
"2289","RNA-Seq","GRCh37","SAMN02466008","SRX408188",150,"PAIRED",5441,"SRR1075555","SRS524495","GTEX-QXCU-1126-SM-48FE5","Esophagus - Muscularis",1109008,590978
"2290","RNA-Seq","GRCh37","SAMN02464932","SRX408199",150,"PAIRED",5240,"SRR1075579","SRS524496","GTEX-S32W-0426-SM-4AD6H","Artery - Aorta",1109153,678164
"2291","RNA-Seq","GRCh37","SAMN02466135","SRX408210",150,"PAIRED",10221,"SRR1075603","SRS524497","GTEX-QDVN-1026-SM-48TZA","Esophagus - Mucosa",1108951,590968
"2292","RNA-Seq","GRCh37","SAMN02466030","SRX408222",150,"PAIRED",8369,"SRR1075607","SRS524498","GTEX-V955-1926-SM-4KL1L","Testis",1109555,706577
"2293","RNA-Seq","GRCh37","SAMN02465658","SRX408225",300,"PAIRED",5748,"SRR1075631","SRS524499","GTEX-XQ8I-0226-SM-4BOPM","Heart - Atrial Appendage",1110013,847767
"2294","RNA-Seq","GRCh37","SAMN02464810","SRX408246",150,"PAIRED",3998,"SRR1075659","SRS524500","GTEX-T6MN-0008-SM-4DM7H","Cells - Transformed fibroblasts",1109350,706553
"2295","RNA-Seq","GRCh37","SAMN02465990","SRX408253",150,"PAIRED",5715,"SRR1075683","SRS524501","GTEX-X585-0002-SM-46MVA","Cells - EBV-transformed lymphocytes",1109713,721013
"2296","RNA-Seq","GRCh37","SAMN02465273","SRX408265",400,"PAIRED",5791,"SRR1075707","SRS524502","GTEX-X638-0008-SM-47JZ7","Cells - Transformed fibroblasts",1109763,847752
"2297","RNA-Seq","GRCh37","SAMN02465424","SRX408284",302,"PAIRED",5062,"SRR1075729","SRS524503","GTEX-UPIC-1726-SM-4IHKG","Colon - Transverse",1109513,706572
"2298","RNA-Seq","GRCh37","SAMN02465316","SRX408294",350,"PAIRED",5759,"SRR1075752","SRS524504","GTEX-XUJ4-0008-SM-4BOQI","Cells - Transformed fibroblasts",1110034,847768
"2299","RNA-Seq","GRCh37","SAMN02465016","SRX408308",150,"PAIRED",7983,"SRR1075778","SRS524505","GTEX-XOTO-0008-SM-4GICE","Cells - Transformed fibroblasts",1109941,847763
"2300","RNA-Seq","GRCh37","SAMN02465528","SRX408334",150,"PAIRED",4686,"SRR1075804","SRS524507","GTEX-XBEC-1526-SM-4AT68","Liver",1109811,847754
"2301","RNA-Seq","GRCh37","SAMN02465121","SRX408321",150,"PAIRED",7365,"SRR1075825","SRS524506","GTEX-XPT6-2126-SM-4B66P","Nerve - Tibial",1109970,847764
"2302","RNA-Seq","GRCh37","SAMN02465396","SRX408336",150,"PAIRED",4547,"SRR1075850","SRS524508","GTEX-T2IS-2226-SM-4DM65","Uterus",1109323,706549
"2303","RNA-Seq","GRCh37","SAMN02465605","SRX408355",150,"PAIRED",6383,"SRR1075874","SRS524509","GTEX-S341-0626-SM-4AD5T","Stomach",1109179,678166
"2304","RNA-Seq","GRCh37","SAMN02465068","SRX408371",150,"PAIRED",7307,"SRR1075898","SRS524510","GTEX-WZTO-0011-R7B-SM-4E3IS","Brain - Putamen (basal ganglia)",1109680,721004
"2305","RNA-Seq","GRCh37","SAMN02465410","SRX408377",150,"PAIRED",4088,"SRR1075923","SRS524511","GTEX-PWN1-0008-SM-48TEA","Cells - Transformed fibroblasts",1108846,590958
"2306","RNA-Seq","GRCh37","SAMN02465000","SRX408391",150,"PAIRED",5197,"SRR1075947","SRS524512","GTEX-RTLS-1226-SM-46MUP","Esophagus - Muscularis",1109098,678156
"2307","RNA-Seq","GRCh37","SAMN02465312","SRX408408",150,"PAIRED",4304,"SRR1075971","SRS524513","GTEX-XBEC-0326-SM-4AT4M","Adipose - Subcutaneous",1109808,847754
"2308","RNA-Seq","GRCh37","SAMN02465518","SRX408414",150,"PAIRED",8009,"SRR1075997","SRS524514","GTEX-XOT4-1126-SM-4B66E","Heart - Atrial Appendage",1109938,847762
"2309","RNA-Seq","GRCh37","SAMN02465688","SRX408432",150,"PAIRED",5524,"SRR1076022","SRS524515","GTEX-X4XY-1626-SM-46MVN","Liver",1109711,721012
"2310","RNA-Seq","GRCh37","SAMN02465205","SRX408437",150,"PAIRED",6200,"SRR1076046","SRS524516","GTEX-XGQ4-1326-SM-4GIDU","Small Intestine - Terminal Ileum",1109857,847756
"2311","RNA-Seq","GRCh37","SAMN02464820","SRX408459",150,"PAIRED",4697,"SRR1076072","SRS524517","GTEX-X4XX-0011-R6B-SM-46MWP","Brain - Nucleus accumbens (basal ganglia)",1109695,721011
"2312","RNA-Seq","GRCh37","SAMN02465339","SRX408465",150,"PAIRED",5143,"SRR1076096","SRS524518","GTEX-QXCU-0008-SM-48FCH","Cells - Transformed fibroblasts",1109006,590978
"2313","RNA-Seq","GRCh37","SAMN02465360","SRX408477",150,"PAIRED",7290,"SRR1076120","SRS524519","GTEX-S33H-1826-SM-4AD65","Prostate",1109174,678165
"2314","RNA-Seq","GRCh37","SAMN02465541","SRX408485",150,"PAIRED",7152,"SRR1076144","SRS524520","GTEX-XPVG-0008-SM-4GICH","Cells - Transformed fibroblasts",1109973,847765
"2315","RNA-Seq","GRCh37","SAMN02464800","SRX408500",150,"PAIRED",7912,"SRR1076170","SRS524521","GTEX-U8XE-1826-SM-4E3HV","Esophagus - Muscularis",1109485,706569
"2316","RNA-Seq","GRCh37","SAMN02465833","SRX408520",150,"PAIRED",4977,"SRR1076195","SRS524522","GTEX-R45C-1226-SM-48FEE","Esophagus - Mucosa",1109015,678148
"2317","RNA-Seq","GRCh37","SAMN02465228","SRX408531",150,"PAIRED",7087,"SRR1076219","SRS524523","GTEX-X4XY-0926-SM-4E3JD","Breast - Mammary Tissue",1109709,721012
"2318","RNA-Seq","GRCh37","SAMN02465728","SRX408537",150,"PAIRED",5275,"SRR1076244","SRS524524","GTEX-PX3G-1026-SM-48TZW","Pancreas",1108871,590961
"2319","RNA-Seq","GRCh37","SAMN02465110","SRX408563",150,"PAIRED",5163,"SRR1076268","SRS524526","GTEX-SIU7-1426-SM-4BRWT","Stomach",1109273,678176
"2320","RNA-Seq","GRCh37","SAMN02465500","SRX408578",150,"PAIRED",7111,"SRR1076292","SRS524527","GTEX-X8HC-0626-SM-4E3HQ","Skin - Not Sun Exposed (Suprapubic)",1109780,721016
"2321","RNA-Seq","GRCh37","SAMN02464860","SRX408560",150,"PAIRED",8078,"SRR1076317","SRS524525","GTEX-XQ3S-0008-SM-4GIDZ","Cells - Transformed fibroblasts",1109996,847766
"2322","RNA-Seq","GRCh37","SAMN02465667","SRX408595",150,"PAIRED",5692,"SRR1076343","SRS524528","GTEX-R53T-0826-SM-48FCP","Artery - Aorta",1109021,678149
"2323","RNA-Seq","GRCh37","SAMN02465092","SRX408601",150,"PAIRED",5736,"SRR1076369","SRS524531","GTEX-Q2AH-0226-SM-48U1I","Spleen",1108888,590963
"2324","RNA-Seq","GRCh37","SAMN02464777","SRX408613",150,"PAIRED",4264,"SRR1076393","SRS524532","GTEX-T5JC-2526-SM-4DM6G","Pituitary",1109337,706551
"2325","RNA-Seq","GRCh37","SAMN02464791","SRX408634",150,"PAIRED",4821,"SRR1076417","SRS524533","GTEX-SNMC-0626-SM-4DM6H","Stomach",1109290,678179
"2326","RNA-Seq","GRCh37","SAMN02465713","SRX408645",150,"PAIRED",6837,"SRR1076441","SRS524534","GTEX-REY6-2426-SM-48FF5","Breast - Mammary Tissue",1109073,678153
"2327","RNA-Seq","GRCh37","SAMN02465675","SRX408653",150,"PAIRED",6772,"SRR1076465","SRS524535","GTEX-XPVG-1726-SM-4B65W","Small Intestine - Terminal Ileum",1109984,847765
"2328","RNA-Seq","GRCh37","SAMN02465617","SRX408666",150,"PAIRED",5911,"SRR1076490","SRS524536","GTEX-XGQ4-2026-SM-4AT6G","Testis",1109861,847756
"2329","RNA-Seq","GRCh37","SAMN02464722","SRX408679",150,"PAIRED",5542,"SRR1076511","SRS524537","GTEX-XV7Q-0005-SM-4BRWI","Whole Blood",1110106,847772
"2330","RNA-Seq","GRCh37","SAMN02465940","SRX408684",150,"PAIRED",6298,"SRR1076535","SRS524538","GTEX-WFG7-1026-SM-4LMK8","Esophagus - Muscularis",1109619,706584
"2331","RNA-Seq","GRCh37","SAMN02465231","SRX408706",150,"PAIRED",5888,"SRR1076559","SRS524539","GTEX-X585-0426-SM-4E3JZ","Nerve - Tibial",1109725,721013
"2332","RNA-Seq","GRCh37","SAMN02465006","SRX408711",150,"PAIRED",4683,"SRR1076584","SRS524540","GTEX-S32W-1326-SM-4AD5Q","Fallopian Tube",1109160,678164
"2333","RNA-Seq","GRCh37","SAMN02466144","SRX408724",150,"PAIRED",6895,"SRR1076608","SRS524541","K-562-SM-4JBIQ","Cells - Leukemia cell line (CML)",1110195,590982
"2334","RNA-Seq","GRCh37","SAMN02465753","SRX408733",150,"PAIRED",7651,"SRR1076632","SRS524542","GTEX-XMK1-0226-SM-4B65D","Adrenal Gland",1109915,847761
"2335","RNA-Seq","GRCh37","SAMN02465403","SRX408755",150,"PAIRED",5533,"SRR1076657","SRS524543","GTEX-P4PP-0008-SM-48TDV","Cells - Transformed fibroblasts",1108800,590945
"2336","RNA-Seq","GRCh37","SAMN02465428","SRX408759",400,"PAIRED",4180,"SRR1076681","SRS524544","GTEX-QEL4-1526-SM-447AB","Esophagus - Muscularis",1108966,678144
"2337","RNA-Seq","GRCh37","SAMN02464891","SRX408773",400,"PAIRED",4386,"SRR1076705","SRS524545","GTEX-QVUS-0626-SM-447CC","Esophagus - Mucosa",1109005,678146
"2338","RNA-Seq","GRCh37","SAMN02464756","SRX408790",150,"PAIRED",3979,"SRR1076729","SRS524546","GTEX-PWOO-0008-SM-48TDU","Cells - Transformed fibroblasts",1108855,590960
"2339","RNA-Seq","GRCh37","SAMN02465931","SRX408795",350,"PAIRED",4319,"SRR1076753","SRS524547","GTEX-XUZC-0126-SM-4BOO6","Thyroid",1110087,847771
"2340","RNA-Seq","GRCh37","SAMN02465607","SRX408813",400,"PAIRED",5098,"SRR1076779","SRS524548","GTEX-XBED-0526-SM-47JY3","Heart - Left Ventricle",1109817,721018
"2341","RNA-Seq","GRCh37","SAMN02465786","SRX408826",400,"PAIRED",6056,"SRR1076801","SRS524549","GTEX-RVPV-0526-SM-47JYL","Esophagus - Mucosa",1109131,678161
"2342","RNA-Seq","GRCh37","SAMN02465314","SRX408837",150,"PAIRED",5075,"SRR1076823","SRS524550","GTEX-XV7Q-0226-SM-4BRVL","Adrenal Gland",1110109,847772
"2343","RNA-Seq","GRCh37","SAMN02465593","SRX408842",150,"PAIRED",5633,"SRR1076847","SRS524551","GTEX-XK95-0005-SM-4AT4S","Whole Blood",1109867,847757
"2344","RNA-Seq","GRCh37","SAMN02465735","SRX408859",150,"PAIRED",7370,"SRR1076868","SRS524552","GTEX-S3XE-0526-SM-4AD4G","Pancreas",1109191,678167
"2345","RNA-Seq","GRCh37","SAMN02465874","SRX408864",150,"PAIRED",5787,"SRR1076892","SRS524553","GTEX-W5WG-1026-SM-4LMIF","Vagina",1109587,706581
"2346","RNA-Seq","GRCh37","SAMN02465887","SRX408878",150,"PAIRED",5124,"SRR1076916","SRS524554","GTEX-RU72-0226-SM-46MUD","Artery - Coronary",1109112,678158
"2347","RNA-Seq","GRCh37","SAMN02465684","SRX408896",150,"PAIRED",4329,"SRR1076940","SRS524555","GTEX-T6MO-0826-SM-4DM51","Colon - Transverse",1109360,706554
"2348","RNA-Seq","GRCh37","SAMN02464736","SRX408909",150,"PAIRED",4013,"SRR1076964","SRS524556","GTEX-XQ8I-1626-SM-4BOOI","Esophagus - Muscularis",1110025,847767
"2349","RNA-Seq","GRCh37","SAMN02464792","SRX408914",150,"PAIRED",4587,"SRR1076990","SRS524557","GTEX-XV7Q-1326-SM-4BRWM","Stomach",1110120,847772
"2350","RNA-Seq","GRCh37","SAMN02465660","SRX408939",150,"PAIRED",5953,"SRR1077038","SRS524559","GTEX-XQ8I-0526-SM-4BOPS","Adipose - Subcutaneous",1110016,847767
"2351","RNA-Seq","GRCh37","SAMN02464931","SRX408955",150,"PAIRED",5229,"SRR1077066","SRS524560","GTEX-XXEK-1926-SM-4BRVD","Colon - Transverse",1110152,847773
"2352","RNA-Seq","GRCh37","SAMN02465441","SRX408967",150,"PAIRED",5855,"SRR1077090","SRS524561","GTEX-SJXC-1126-SM-4DM6Y","Artery - Aorta",1109279,678178
"2353","RNA-Seq","GRCh37","SAMN02465882","SRX408982",150,"PAIRED",5273,"SRR1077115","SRS524562","GTEX-X5EB-0626-SM-46MVQ","Heart - Atrial Appendage",1109736,721014
"2354","RNA-Seq","GRCh37","SAMN02465013","SRX408994",150,"PAIRED",5216,"SRR1077139","SRS524563","GTEX-U3ZH-1426-SM-4DXSR","Breast - Mammary Tissue",1109430,706563
"2355","RNA-Seq","GRCh37","SAMN02465561","SRX409007",150,"PAIRED",6894,"SRR1077159","SRS524564","GTEX-PX3G-2026-SM-48U1H","Uterus",1108875,590961
"2356","RNA-Seq","GRCh37","SAMN02465176","SRX409015",400,"PAIRED",5420,"SRR1077183","SRS524565","GTEX-RVPU-1526-SM-47JXQ","Artery - Tibial",1109129,678160
"2357","RNA-Seq","GRCh37","SAMN02465558","SRX409029",150,"PAIRED",5642,"SRR1077211","SRS524569","GTEX-XUZC-0926-SM-4BOQF","Uterus",1110094,847771
"2358","RNA-Seq","GRCh37","SAMN02465295","SRX409049",150,"PAIRED",5029,"SRR1077239","SRS524570","GTEX-T6MO-1426-SM-4DM73","Cervix - Endocervix",1109364,706554
"2359","RNA-Seq","GRCh37","SAMN02465276","SRX409051",150,"PAIRED",5304,"SRR1077263","SRS524571","GTEX-XPVG-2126-SM-4B667","Skin - Not Sun Exposed (Suprapubic)",1109987,847765
"2360","RNA-Seq","GRCh37","SAMN02465331","SRX409070",400,"PAIRED",5789,"SRR1077288","SRS524572","GTEX-SSA3-0326-SM-47JWY","Muscle - Skeletal",1109307,706547
"2361","RNA-Seq","GRCh37","SAMN02465491","SRX409078",150,"PAIRED",4944,"SRR1077310","SRS524573","GTEX-PWN1-0626-SM-48TDT","Esophagus - Mucosa",1108847,590958
"2362","RNA-Seq","GRCh37","SAMN02465498","SRX409091",400,"PAIRED",5996,"SRR1077334","SRS524574","K-562-SM-47JYY","Cells - Leukemia cell line (CML)",1110183,590982
"2363","RNA-Seq","GRCh37","SAMN02465028","SRX409099",150,"PAIRED",5678,"SRR1077356","SRS524575","GTEX-XBED-1026-SM-48TCB","Esophagus - Mucosa",1109821,721018
"2364","RNA-Seq","GRCh37","SAMN02465234","SRX409115",150,"PAIRED",6888,"SRR1077380","SRS524576","GTEX-X4EO-2726-SM-4E3HS","Colon - Sigmoid",1109687,721008
"2365","RNA-Seq","GRCh37","SAMN02466009","SRX409127",150,"PAIRED",6313,"SRR1077405","SRS524577","GTEX-X4XY-0011-R10B-SM-46MWS","Brain - Frontal Cortex (BA9)",1109701,721012
"2366","RNA-Seq","GRCh37","SAMN02465985","SRX409138",150,"PAIRED",4494,"SRR1077429","SRS524578","GTEX-WFG8-1826-SM-4LVM4","Prostate",1109635,706585
"2367","RNA-Seq","GRCh37","SAMN02465512","SRX409156",150,"PAIRED",5332,"SRR1077455","SRS524579","GTEX-Q2AG-3026-SM-48U1L","Pituitary",1108885,590962
"2368","RNA-Seq","GRCh37","SAMN02465606","SRX409171",150,"PAIRED",4480,"SRR1077479","SRS524580","GTEX-O5YT-0126-SM-48TBW","Skin - Sun Exposed (Lower leg)",1108769,706544
"2369","RNA-Seq","GRCh37","SAMN02465710","SRX409183",150,"PAIRED",7705,"SRR1077503","SRS524581","GTEX-XXEK-0005-SM-4BRWJ","Whole Blood",1110134,847773
"2370","RNA-Seq","GRCh37","SAMN02465256","SRX409192",150,"PAIRED",5632,"SRR1077528","SRS524582","GTEX-XGQ4-0526-SM-4AT6C","Heart - Atrial Appendage",1109851,847756
"2371","RNA-Seq","GRCh37","SAMN02465906","SRX409206",150,"PAIRED",5456,"SRR1077549","SRS524583","GTEX-WFON-0126-SM-4LVM9","Spleen",1109645,706587
"2372","RNA-Seq","GRCh37","SAMN02466021","SRX409211",150,"PAIRED",5803,"SRR1077575","SRS524584","GTEX-S4Q7-0526-SM-4AD5N","Esophagus - Muscularis",1109211,678169
"2373","RNA-Seq","GRCh37","SAMN02465739","SRX409227",150,"PAIRED",5988,"SRR1077599","SRS524585","GTEX-TKQ2-1226-SM-4DXSV","Esophagus - Muscularis",1109388,706557
"2374","RNA-Seq","GRCh37","SAMN02465609","SRX409233",150,"PAIRED",5070,"SRR1077619","SRS524586","GTEX-RNOR-1226-SM-48FDQ","Esophagus - Mucosa",1109091,678155
"2375","RNA-Seq","GRCh37","SAMN02465679","SRX409248",150,"PAIRED",5502,"SRR1077643","SRS524587","GTEX-XV7Q-0826-SM-4BRV7","Heart - Left Ventricle",1110115,847772
"2376","RNA-Seq","GRCh37","SAMN02465279","SRX409257",150,"PAIRED",4471,"SRR1077667","SRS524588","GTEX-TML8-1326-SM-4DXTO","Colon - Transverse",1109396,706559
"2377","RNA-Seq","GRCh37","SAMN02465094","SRX409277",150,"PAIRED",4441,"SRR1077687","SRS524589","GTEX-XLM4-0011-R4B-SM-4AT5C","Brain - Amygdala",1109879,847758
"2378","RNA-Seq","GRCh37","SAMN02464720","SRX409284",150,"PAIRED",4640,"SRR1077708","SRS524590","GTEX-TSE9-3126-SM-4DXSY","Pituitary",1109419,706562
"2379","RNA-Seq","GRCh37","SAMN02465259","SRX409291",150,"PAIRED",8403,"SRR1077728","SRS524591","GTEX-X5EB-1626-SM-4E3IV","Small Intestine - Terminal Ileum",1109744,721014
"2380","RNA-Seq","GRCh37","SAMN02465189","SRX409314",150,"PAIRED",6129,"SRR1077753","SRS524592","GTEX-XQ3S-2726-SM-4BOP2","Testis",1110010,847766
"2381","RNA-Seq","GRCh37","SAMN02466057","SRX409326",150,"PAIRED",5206,"SRR1077781","SRS524593","GTEX-UTHO-0008-SM-4JBID","Cells - Transformed fibroblasts",1109528,706575
"2382","RNA-Seq","GRCh37","SAMN02465473","SRX409328",150,"PAIRED",5360,"SRR1077805","SRS524594","GTEX-XYKS-2426-SM-4AT43","Muscle - Skeletal",1110176,847774
"2383","RNA-Seq","GRCh37","SAMN02465033","SRX409348",150,"PAIRED",5941,"SRR1077826","SRS524595","GTEX-X8HC-0008-SM-46MU6","Cells - Transformed fibroblasts",1109776,721016
"2384","RNA-Seq","GRCh37","SAMN02464836","SRX409352",150,"PAIRED",5679,"SRR1077850","SRS524596","GTEX-S4Q7-0626-SM-4AD5M","Esophagus - Mucosa",1109212,678169
"2385","RNA-Seq","GRCh37","SAMN02465368","SRX409366",150,"PAIRED",5887,"SRR1077874","SRS524597","GTEX-V955-1026-SM-4JBHO","Esophagus - Muscularis",1109548,706577
"2386","RNA-Seq","GRCh37","SAMN02464764","SRX409376",400,"PAIRED",6003,"SRR1077898","SRS524598","GTEX-XAJ8-1426-SM-47JYM","Skin - Not Sun Exposed (Suprapubic)",1109804,721017
"2387","RNA-Seq","GRCh37","SAMN02464721","SRX409392",150,"PAIRED",5611,"SRR1077920","SRS524599","GTEX-RU72-0626-SM-46MUI","Breast - Mammary Tissue",1109113,678158
"2388","RNA-Seq","GRCh37","SAMN02464888","SRX409401",150,"PAIRED",4645,"SRR1077944","SRS524600","GTEX-QCQG-0226-SM-48U28","Spleen",1108918,590966
"2389","RNA-Seq","GRCh37","SAMN02465575","SRX409411",150,"PAIRED",4695,"SRR1077968","SRS524601","GTEX-RNOR-2426-SM-48FDY","Pituitary",1109094,678155
"2390","RNA-Seq","GRCh37","SAMN02465709","SRX409424",150,"PAIRED",9512,"SRR1077992","SRS524602","GTEX-QCQG-0726-SM-48U1Z","Esophagus - Muscularis",1108922,590966
"2391","RNA-Seq","GRCh37","SAMN02465363","SRX409428",150,"PAIRED",5768,"SRR1077996","SRS524603","GTEX-WEY5-0726-SM-4LMID","Uterus",1109607,706583
"2392","RNA-Seq","GRCh37","SAMN02464964","SRX409447",400,"PAIRED",6541,"SRR1078020","SRS524604","GTEX-RVPV-0008-SM-47JYW","Cells - Transformed fibroblasts",1109130,678161
"2393","RNA-Seq","GRCh37","SAMN02465640","SRX409451",150,"PAIRED",4710,"SRR1078042","SRS524605","GTEX-PWCY-1326-SM-48TCU","Ovary",1108842,590957
"2394","RNA-Seq","GRCh37","SAMN02465574","SRX409463",150,"PAIRED",4891,"SRR1078066","SRS524606","GTEX-OOBK-1026-SM-48TC2","Pancreas",1108789,590938
"2395","RNA-Seq","GRCh37","SAMN02465387","SRX409473",400,"PAIRED",4678,"SRR1078090","SRS524607","GTEX-QLQ7-0826-SM-447B3","Stomach",1108972,590972
"2396","RNA-Seq","GRCh37","SAMN02464878","SRX409488",350,"PAIRED",4611,"SRR1078114","SRS524608","GTEX-XUW1-0226-SM-4BOOS","Uterus",1110062,847769
"2397","RNA-Seq","GRCh37","SAMN02464726","SRX409500",150,"PAIRED",5178,"SRR1078140","SRS524609","GTEX-S33H-0826-SM-4AD5Y","Esophagus - Mucosa",1109170,678165
"2398","RNA-Seq","GRCh37","SAMN02465342","SRX409509",150,"PAIRED",6500,"SRR1078164","SRS524610","GTEX-V1D1-1926-SM-4JBGX","Prostate",1109542,706576
